year,age,zero,one,two,three,four
1994.0,24,0.801980198019802,0.10891089108910891,0.06930693069306931,0.019801980198019802,0.0
1995.0,24,0.8181818181818182,0.10101010101010101,0.0707070707070707,0.010101010101010102,0.0
1996.0,24,0.8282828282828283,0.10101010101010101,0.06060606060606061,0.010101010101010102,0.0
1996.0,24,0.8282828282828283,0.10101010101010101,0.06060606060606061,0.010101010101010102,0.0
1920.0,25,0.594059405940594,0.26732673267326734,0.09900990099009901,0.0297029702970297,0.009900990099009901
1921.0,25,0.59,0.28,0.1,0.02,0.01
1922.0,25,0.5643564356435643,0.2871287128712871,0.10891089108910891,0.0297029702970297,0.009900990099009901
1923.0,25,0.53,0.31,0.12,0.03,0.01
1924.0,25,0.5148514851485149,0.31683168316831684,0.12871287128712872,0.0297029702970297,0.009900990099009901
1924.0,25,0.5148514851485149,0.31683168316831684,0.12871287128712872,0.0297029702970297,0.009900990099009901
1925.0,25,0.52,0.31,0.13,0.03,0.01
1926.0,25,0.5148514851485149,0.297029702970297,0.13861386138613863,0.039603960396039604,0.009900990099009901
1927.0,25,0.52,0.3,0.13,0.04,0.01
1928.0,25,0.52,0.3,0.13,0.04,0.01
1929.0,25,0.52,0.29,0.14,0.04,0.01
1929.0,25,0.52,0.29,0.14,0.04,0.01
1930.0,25,0.5151515151515151,0.29292929292929293,0.1414141414141414,0.04040404040404041,0.010101010101010102
1931.0,25,0.51,0.29,0.14,0.04,0.02
1932.0,25,0.5,0.29,0.15,0.04,0.02
1933.0,25,0.48514851485148514,0.297029702970297,0.1485148514851485,0.04950495049504951,0.019801980198019802
1934.0,25,0.47,0.3,0.16,0.05,0.02
1934.0,25,0.47,0.3,0.16,0.05,0.02
1935.0,25,0.46,0.3,0.17,0.05,0.02
1936.0,25,0.46,0.29,0.17,0.06,0.02
1937.0,25,0.45,0.29,0.18,0.06,0.02
1938.0,25,0.43,0.29,0.19,0.06,0.03
1939.0,25,0.4158415841584158,0.2871287128712871,0.19801980198019803,0.06930693069306931,0.0297029702970297
1939.0,25,0.4158415841584158,0.2871287128712871,0.19801980198019803,0.06930693069306931,0.0297029702970297
1940.0,25,0.41,0.28,0.21,0.07,0.03
1941.0,25,0.39603960396039606,0.27722772277227725,0.21782178217821782,0.07920792079207921,0.0297029702970297
1942.0,25,0.4,0.27,0.22,0.08,0.03
1943.0,25,0.41,0.27,0.22,0.07,0.03
1944.0,25,0.41,0.27,0.22,0.07,0.03
1944.0,25,0.41,0.27,0.22,0.07,0.03
1945.0,25,0.4,0.27,0.23,0.07,0.03
1946.0,25,0.41,0.26,0.23,0.07,0.03
1947.0,25,0.43564356435643564,0.25742574257425743,0.21782178217821782,0.06930693069306931,0.019801980198019802
1948.0,25,0.44,0.25,0.22,0.07,0.02
1949.0,25,0.45,0.25,0.22,0.06,0.02
1949.0,25,0.45,0.25,0.22,0.06,0.02
1950.0,25,0.47,0.24,0.21,0.06,0.02
1951.0,25,0.4752475247524752,0.2376237623762376,0.2079207920792079,0.0594059405940594,0.019801980198019802
1952.0,25,0.5050505050505051,0.23232323232323232,0.20202020202020202,0.050505050505050504,0.010101010101010102
1953.0,25,0.52,0.22,0.2,0.05,0.01
1954.0,25,0.54,0.21,0.19,0.05,0.01
1954.0,25,0.54,0.21,0.19,0.05,0.01
1955.0,25,0.54,0.22,0.18,0.05,0.01
1956.0,25,0.55,0.21,0.18,0.05,0.01
1957.0,25,0.5656565656565656,0.20202020202020202,0.1717171717171717,0.050505050505050504,0.010101010101010102
1958.0,25,0.5858585858585859,0.20202020202020202,0.16161616161616163,0.04040404040404041,0.010101010101010102
1959.0,25,0.6,0.19,0.16,0.04,0.01
1959.0,25,0.6,0.19,0.16,0.04,0.01
1960.0,25,0.61,0.18,0.16,0.04,0.01
1961.0,25,0.62,0.18,0.15,0.04,0.01
1962.0,25,0.63,0.18,0.14,0.04,0.01
1963.0,25,0.64,0.18,0.13,0.04,0.01
1964.0,25,0.65,0.17,0.13,0.04,0.01
1964.0,25,0.65,0.17,0.13,0.04,0.01
1965.0,25,0.65,0.17,0.13,0.04,0.01
1966.0,25,0.65,0.17,0.13,0.04,0.01
1967.0,25,0.6435643564356436,0.1782178217821782,0.12871287128712872,0.039603960396039604,0.009900990099009901
1968.0,25,0.64,0.18,0.13,0.04,0.01
1969.0,25,0.65,0.18,0.12,0.04,0.01
1969.0,25,0.65,0.18,0.12,0.04,0.01
1970.0,25,0.65,0.18,0.12,0.04,0.01
1971.0,25,0.66,0.18,0.11,0.04,0.01
1972.0,25,0.6767676767676768,0.1717171717171717,0.1111111111111111,0.030303030303030304,0.010101010101010102
1973.0,25,0.68,0.17,0.11,0.03,0.01
1974.0,25,0.68,0.17,0.11,0.03,0.01
1974.0,25,0.68,0.17,0.11,0.03,0.01
1975.0,25,0.69,0.16,0.11,0.03,0.01
1976.0,25,0.68,0.17,0.11,0.03,0.01
1977.0,25,0.68,0.17,0.11,0.03,0.01
1978.0,25,0.6831683168316832,0.16831683168316833,0.10891089108910891,0.0297029702970297,0.009900990099009901
1979.0,25,0.6732673267326733,0.1782178217821782,0.10891089108910891,0.0297029702970297,0.009900990099009901
1979.0,25,0.6732673267326733,0.1782178217821782,0.10891089108910891,0.0297029702970297,0.009900990099009901
1980.0,25,0.6732673267326733,0.1782178217821782,0.10891089108910891,0.0297029702970297,0.009900990099009901
1981.0,25,0.68,0.18,0.1,0.03,0.01
1982.0,25,0.6732673267326733,0.1782178217821782,0.10891089108910891,0.0297029702970297,0.009900990099009901
1983.0,25,0.68,0.17,0.11,0.03,0.01
1984.0,25,0.6831683168316832,0.16831683168316833,0.10891089108910891,0.0297029702970297,0.009900990099009901
1984.0,25,0.6831683168316832,0.16831683168316833,0.10891089108910891,0.0297029702970297,0.009900990099009901
1985.0,25,0.6831683168316832,0.16831683168316833,0.10891089108910891,0.0297029702970297,0.009900990099009901
1986.0,25,0.68,0.17,0.11,0.03,0.01
1987.0,25,0.68,0.17,0.11,0.03,0.01
1988.0,25,0.69,0.16,0.11,0.03,0.01
1989.0,25,0.7,0.15,0.11,0.03,0.01
1989.0,25,0.7,0.15,0.11,0.03,0.01
1990.0,25,0.71,0.15,0.1,0.03,0.01
1991.0,25,0.7326732673267327,0.12871287128712872,0.09900990099009901,0.0297029702970297,0.009900990099009901
1992.0,25,0.7425742574257426,0.12871287128712872,0.0891089108910891,0.0297029702970297,0.009900990099009901
1993.0,25,0.76,0.12,0.09,0.02,0.01
